metric,value,unit,status,pass_flag,stage7_1_stable_code_identity_hash
stage7_1_closure_status,PASS_STAGE7_1_CLOSURE_AUDIT,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_status,PASS_SYSTEM_ANALYSIS_ONLY,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage8_technical_permission,false,boolean,NOT_PERMITTED,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
historical_comparison_status,PASS_STAGE7_CORE_MATCHES_HISTORICAL_COMMIT,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
historical_comparison_failed_count,0,count,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_core_scientific_comparison_status,PASS_STAGE7_CORE_SCIENTIFIC_MATCHES_HISTORICAL_COMMIT,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_diagnostic_variation_count,1,count,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
peak_memory_comparison_status,EXPECTED_PROVENANCE_SCHEMA_DEPENDENT_VARIATION,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
peak_memory_delta_bytes,69742,byte,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
peak_memory_relative_delta,0.00063202,ratio,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
deterministic_memory_contract_status,PASS_DETERMINISTIC_MEMORY_CONTRACT,status,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
edge_common_trial_generation_count,3600,count,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
edge_method_evaluation_count,10800,count,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_selection_changed_flag,false,boolean,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_1_source_tree_hash,bdcea5bf6c863bd9648773ec1e01b1bade656eea0c0e0bec4059d9f4c917185a,sha256,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
stage7_1_stable_code_identity_hash,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,sha256,PASS,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
