scenario_id,data_split,center_az_deg,center_el_deg,direction_az_component,direction_el_component,separation_deg,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,source_profile_id,L,secondary_power_db,correlation_magnitude,correlation_phase_rad,noise_covariance_id,registered_domain_pass,holdout_seed,sampling_rule,source_scenario_file,diagnostic_profile,method_id,subset_id,K,element_snr_db,Nmc,paired_trial_count,seed_base,seed_block_stride,group_seed_start,seed,trial_seed_formula,paired_group_index,paired_group_id,common_trial_count_expected,method_evaluation_count_expected,common_trial_generation_status,mismatch_id,noise_sigma_override,historical_registered_domain_pass,tolerant_registered_domain_pass,boundary_numeric_disagreement_flag,domain_tolerance_deg,domain_scale_deg,domain_parameter_dimension,edge_diagnostic_domain_pass,domain_tolerance_formula,domain_gate_source,diagnostic_status,selection_effect_status,plan_version,stage7_1_stable_code_identity_hash
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FIXED_RECT_3X5,RECT_E14_A31,2,0,200,200,20260719,1000,20260719,20260719,group_seed_start+trial_index-1,1,EDGE_D0318_SNR_+00_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,GREEDY_ETA_080,RECT_E28_A31,2,0,200,200,20260719,1000,20260719,20260719,group_seed_start+trial_index-1,1,EDGE_D0318_SNR_+00_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FULL_PARENT_5X5,RECT_E31_A31,2,0,200,200,20260719,1000,20260719,20260719,group_seed_start+trial_index-1,1,EDGE_D0318_SNR_+00_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FIXED_RECT_3X5,RECT_E14_A31,2,5,200,200,20260719,1000,20261719,20261719,group_seed_start+trial_index-1,2,EDGE_D0318_SNR_+05_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,GREEDY_ETA_080,RECT_E28_A31,2,5,200,200,20260719,1000,20261719,20261719,group_seed_start+trial_index-1,2,EDGE_D0318_SNR_+05_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FULL_PARENT_5X5,RECT_E31_A31,2,5,200,200,20260719,1000,20261719,20261719,group_seed_start+trial_index-1,2,EDGE_D0318_SNR_+05_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FIXED_RECT_3X5,RECT_E14_A31,2,10,200,200,20260719,1000,20262719,20262719,group_seed_start+trial_index-1,3,EDGE_D0318_SNR_+10_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,GREEDY_ETA_080,RECT_E28_A31,2,10,200,200,20260719,1000,20262719,20262719,group_seed_start+trial_index-1,3,EDGE_D0318_SNR_+10_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,DESIGN,7.6,10.2,0,1,0.4,7.6,10,7.6,10.4,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_design_scenarios.csv,CENTRAL_3_BY_5,FULL_PARENT_5X5,RECT_E31_A31,2,10,200,200,20260719,1000,20262719,20262719,group_seed_start+trial_index-1,3,EDGE_D0318_SNR_+10_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,VALIDATION,7.6,10,0.923879532511287,0.38268343236509,0.3,7.46141807012331,9.94259748514524,7.73858192987669,10.0574025148548,V0,8,-3,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT,stage7_validation_scenarios.csv,CENTRAL_3_BY_5,FIXED_RECT_3X5,RECT_E14_A31,2,0,200,200,20260719,1000,20263719,20263719,group_seed_start+trial_index-1,4,EDGE_V0014_SNR_+00_DB,3600,10800,GENERATE_ELEMENT_DOMAIN_TRIAL_ONCE_THEN_APPLY_THREE_PHYSICAL_SUBSETS,NONE,NaN,1,1,0,7.105427357601e-15,10.4,4,1,parameter_dimension*eps(domain_scale_deg),TOLERANT_REGISTERED_DOMAIN_PASS,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,STAGE7_1_EDGE_DIAGNOSTIC_PLAN_V3_NONOVERLAPPING_TRIAL_SEEDS,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
