scope_type,scope_value,method_id,valid_count,trial_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,comparison_id,wins,ties,losses,decision
OVERALL,ALL,CORE_LITE,72,72,0.183811850990091,0.379192294969721,,NaN,NaN,NaN,
PROFILE,P1,CORE_LITE,18,18,0.141681308325435,0.240852279970884,,NaN,NaN,NaN,
PROFILE,P2,CORE_LITE,18,18,0.244090964428219,0.438617393793236,,NaN,NaN,NaN,
PROFILE,P3,CORE_LITE,18,18,0.145911750761105,0.282811959340942,,NaN,NaN,NaN,
PROFILE,P4,CORE_LITE,18,18,0.253437852681951,0.379192294969721,,NaN,NaN,NaN,
L,1,CORE_LITE,24,24,0.240391292207941,0.379192294969721,,NaN,NaN,NaN,
L,4,CORE_LITE,24,24,0.149897595666927,0.41284062250105,,NaN,NaN,NaN,
L,8,CORE_LITE,24,24,0.141681308325435,0.272357421658004,,NaN,NaN,NaN,
SNR_DB,-6,CORE_LITE,24,24,0.252336707842558,0.427375732342903,,NaN,NaN,NaN,
SNR_DB,+0,CORE_LITE,24,24,0.183811850990091,0.379192294969721,,NaN,NaN,NaN,
SNR_DB,+6,CORE_LITE,24,24,0.141681308325435,0.231254894513804,,NaN,NaN,NaN,
OVERALL,ALL,CORE_PLUS,72,72,0.149626996474891,0.376176285107754,,NaN,NaN,NaN,
PROFILE,P1,CORE_PLUS,18,18,0.141681308325435,0.230142720119748,,NaN,NaN,NaN,
PROFILE,P2,CORE_PLUS,18,18,0.213023045023052,0.421384663255134,,NaN,NaN,NaN,
PROFILE,P3,CORE_PLUS,18,18,0.103077640640442,0.201951618320455,,NaN,NaN,NaN,
PROFILE,P4,CORE_PLUS,18,18,0.248308929014664,0.379192294969721,,NaN,NaN,NaN,
L,1,CORE_PLUS,24,24,0.194917445166767,0.363706191037933,,NaN,NaN,NaN,
L,4,CORE_PLUS,24,24,0.155297614340821,0.388684110130188,,NaN,NaN,NaN,
L,8,CORE_PLUS,24,24,0.141681308325435,0.250388139221863,,NaN,NaN,NaN,
SNR_DB,-6,CORE_PLUS,24,24,0.237109204164924,0.405930857908505,,NaN,NaN,NaN,
SNR_DB,+0,CORE_PLUS,24,24,0.155383536916772,0.378768607673458,,NaN,NaN,NaN,
SNR_DB,+6,CORE_PLUS,24,24,0.116657863643405,0.206224047668121,,NaN,NaN,NaN,
OVERALL,ALL,TANGENT_PROFILE_SAFE,72,72,0.0775186890096949,0.252820120179067,,NaN,NaN,NaN,
PROFILE,P1,TANGENT_PROFILE_SAFE,18,18,0.0521246308457133,0.178593334333965,,NaN,NaN,NaN,
PROFILE,P2,TANGENT_PROFILE_SAFE,18,18,0.113812256177493,0.33369316876853,,NaN,NaN,NaN,
PROFILE,P3,TANGENT_PROFILE_SAFE,18,18,0.0581319402666474,0.0857037434240468,,NaN,NaN,NaN,
PROFILE,P4,TANGENT_PROFILE_SAFE,18,18,0.0879198284202638,0.221084693433074,,NaN,NaN,NaN,
L,1,TANGENT_PROFILE_SAFE,24,24,0.101538820320221,0.265706523200613,,NaN,NaN,NaN,
L,4,TANGENT_PROFILE_SAFE,24,24,0.0765091670672102,0.325921606978476,,NaN,NaN,NaN,
L,8,TANGENT_PROFILE_SAFE,24,24,0.0746801769473451,0.116117506457648,,NaN,NaN,NaN,
SNR_DB,-6,TANGENT_PROFILE_SAFE,24,24,0.111898016336571,0.289857421658004,,NaN,NaN,NaN,
SNR_DB,+0,TANGENT_PROFILE_SAFE,24,24,0.078137814460309,0.261388911749119,,NaN,NaN,NaN,
SNR_DB,+6,TANGENT_PROFILE_SAFE,24,24,0.066073722846644,0.110764549769189,,NaN,NaN,NaN,
PAIRED,TANGENT_PROFILE_SAFE_vs_CORE_LITE,TANGENT_PROFILE_SAFE,NaN,72,NaN,NaN,TANGENT_PROFILE_SAFE_vs_CORE_LITE,53,13,6,
PAIRED,TANGENT_PROFILE_SAFE_vs_CORE_PLUS,TANGENT_PROFILE_SAFE,NaN,72,NaN,NaN,TANGENT_PROFILE_SAFE_vs_CORE_PLUS,54,7,11,
DECISION,STAGE8_K2_TANGENT_PROFILE_RETAIN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,STAGE8_K2_TANGENT_PROFILE_RETAIN
