seed_role,seed,registry_id
CALIBRATION_DATA,2026072100,C1_001
CALIBRATION_DATA,2026072101,C1_002
CALIBRATION_DATA,2026072102,C1_003
CALIBRATION_DATA,2026072103,C1_004
CALIBRATION_DATA,2026072104,C1_005
CALIBRATION_DATA,2026072105,C1_006
CALIBRATION_DATA,2026072106,C1_007
CALIBRATION_DATA,2026072107,C1_008
CALIBRATION_DATA,2026072108,C1_009
CALIBRATION_DATA,2026072109,C1_010
CALIBRATION_DATA,2026072110,C1_011
CALIBRATION_DATA,2026072111,C1_012
CALIBRATION_DATA,2026072112,C1_013
CALIBRATION_DATA,2026072113,C1_014
CALIBRATION_DATA,2026072114,C1_015
CALIBRATION_DATA,2026072115,C1_016
CALIBRATION_DATA,2026072116,C1_017
CALIBRATION_DATA,2026072117,C1_018
CALIBRATION_DATA,2026072118,C1_019
CALIBRATION_DATA,2026072119,C1_020
CALIBRATION_DATA,2026072120,C1_021
CALIBRATION_DATA,2026072121,C1_022
CALIBRATION_DATA,2026072122,C1_023
CALIBRATION_DATA,2026072123,C1_024
CALIBRATION_DATA,2026072124,C1_025
CALIBRATION_DATA,2026072125,C1_026
CALIBRATION_DATA,2026072126,C1_027
CALIBRATION_DATA,2026072127,C1_028
CALIBRATION_DATA,2026072128,C1_029
CALIBRATION_DATA,2026072129,C1_030
CALIBRATION_DATA,2026072130,C1_031
CALIBRATION_DATA,2026072131,C1_032
CALIBRATION_DATA,2026072132,C1_033
CALIBRATION_DATA,2026072133,C1_034
CALIBRATION_DATA,2026072134,C1_035
CALIBRATION_DATA,2026072135,C1_036
CALIBRATION_DATA,2026072136,C1_037
CALIBRATION_DATA,2026072137,C1_038
CALIBRATION_DATA,2026072138,C1_039
CALIBRATION_DATA,2026072139,C1_040
CALIBRATION_DATA,2026072140,C1_041
CALIBRATION_DATA,2026072141,C1_042
CALIBRATION_DATA,2026072142,C1_043
CALIBRATION_DATA,2026072143,C1_044
CALIBRATION_DATA,2026072144,C1_045
CALIBRATION_DATA,2026072145,C1_046
CALIBRATION_DATA,2026072146,C1_047
CALIBRATION_DATA,2026072147,C1_048
CALIBRATION_DATA,2026072148,C1_049
CALIBRATION_DATA,2026072149,C1_050
CALIBRATION_DATA,2026072150,C1_051
CALIBRATION_DATA,2026072151,C1_052
CALIBRATION_DATA,2026072152,C1_053
CALIBRATION_DATA,2026072153,C1_054
CALIBRATION_DATA,2026072154,C1_055
CALIBRATION_DATA,2026072155,C1_056
CALIBRATION_DATA,2026072156,C1_057
CALIBRATION_DATA,2026072157,C1_058
CALIBRATION_DATA,2026072158,C1_059
CALIBRATION_DATA,2026072159,C1_060
CALIBRATION_DATA,2026072160,C1_061
CALIBRATION_DATA,2026072161,C1_062
CALIBRATION_DATA,2026072162,C1_063
CALIBRATION_DATA,2026072163,C1_064
CALIBRATION_DATA,2026072164,C1_065
CALIBRATION_DATA,2026072165,C1_066
CALIBRATION_DATA,2026072166,C1_067
CALIBRATION_DATA,2026072167,C1_068
CALIBRATION_DATA,2026072168,C1_069
CALIBRATION_DATA,2026072169,C1_070
CALIBRATION_DATA,2026072170,C1_071
CALIBRATION_DATA,2026072171,C1_072
CALIBRATION_DATA,2026072172,C1_073
CALIBRATION_DATA,2026072173,C1_074
CALIBRATION_DATA,2026072174,C1_075
CALIBRATION_DATA,2026072175,C1_076
CALIBRATION_DATA,2026072176,C1_077
CALIBRATION_DATA,2026072177,C1_078
CALIBRATION_DATA,2026072178,C1_079
CALIBRATION_DATA,2026072179,C1_080
CALIBRATION_DATA,2026072180,C1_081
CALIBRATION_DATA,2026072181,C1_082
CALIBRATION_DATA,2026072182,C1_083
CALIBRATION_DATA,2026072183,C1_084
CALIBRATION_DATA,2026072184,C1_085
CALIBRATION_DATA,2026072185,C1_086
CALIBRATION_DATA,2026072186,C1_087
CALIBRATION_DATA,2026072187,C1_088
CALIBRATION_DATA,2026072188,C1_089
CALIBRATION_DATA,2026072189,C1_090
CALIBRATION_DATA,2026072190,C1_091
CALIBRATION_DATA,2026072191,C1_092
CALIBRATION_DATA,2026072192,C1_093
CALIBRATION_DATA,2026072193,C1_094
CALIBRATION_DATA,2026072194,C1_095
CALIBRATION_DATA,2026072195,C1_096
CALIBRATION_DATA,2026072196,C1_097
CALIBRATION_DATA,2026072197,C1_098
CALIBRATION_DATA,2026072198,C1_099
CALIBRATION_DATA,2026072199,C1_100
CALIBRATION_DATA,2026072200,C1_101
CALIBRATION_DATA,2026072201,C1_102
CALIBRATION_DATA,2026072202,C1_103
CALIBRATION_DATA,2026072203,C1_104
CALIBRATION_DATA,2026072204,C1_105
CALIBRATION_DATA,2026072205,C1_106
CALIBRATION_DATA,2026072206,C1_107
CALIBRATION_DATA,2026072207,C1_108
CALIBRATION_DATA,2026072208,C1_109
CALIBRATION_DATA,2026072209,C1_110
CALIBRATION_DATA,2026072210,C1_111
CALIBRATION_DATA,2026072211,C1_112
CALIBRATION_DATA,2026072212,C1_113
CALIBRATION_DATA,2026072213,C1_114
CALIBRATION_DATA,2026072214,C1_115
CALIBRATION_DATA,2026072215,C1_116
CALIBRATION_DATA,2026072216,C1_117
CALIBRATION_DATA,2026072217,C1_118
CALIBRATION_DATA,2026072218,C1_119
CALIBRATION_DATA,2026072219,C1_120
CALIBRATION_DATA,2026072220,C1_121
CALIBRATION_DATA,2026072221,C1_122
CALIBRATION_DATA,2026072222,C1_123
CALIBRATION_DATA,2026072223,C1_124
CALIBRATION_DATA,2026072224,C1_125
CALIBRATION_DATA,2026072225,C1_126
CALIBRATION_DATA,2026072226,C1_127
CALIBRATION_DATA,2026072227,C1_128
CALIBRATION_DATA,2026072228,C1_129
CALIBRATION_DATA,2026072229,C1_130
CALIBRATION_DATA,2026072230,C1_131
CALIBRATION_DATA,2026072231,C1_132
CALIBRATION_DATA,2026072232,C1_133
CALIBRATION_DATA,2026072233,C1_134
CALIBRATION_DATA,2026072234,C1_135
CALIBRATION_DATA,2026072235,C1_136
