"path","action","reason"
"step_01_lfm_pc","delete","historical frontend stage not thesis innovation"
"step_02_elem_pc","delete","historical frontend stage not thesis innovation"
"step_03_az_bf","delete","historical frontend stage not thesis innovation"
"step_04_el_bf","delete","historical frontend stage not thesis innovation"
"step_05_5_joint_2d_mtd","delete","historical frontend branch"
"step_05_joint_2d_mtd","delete","historical frontend branch"
"step_06_three_beam_angle","delete","baseline angle estimator"
"step_07_5_space_smooth_beamspace_MUSIC_monte_carlo","delete","predecessor validation stage"
"step_07_space_smooth_music","delete","predecessor baseline"
"step_08_routeB_innovation","delete","historical development bundle"
"step_08_5_routeB_array","delete","predecessor stage"
"step_08_6_routeB_array_level2","delete","predecessor stage"
"step_08_7_routeB_array_level3","delete","validated content extracted into clean module"
"step_08_8_frontend_to_shared_center_closure","delete","validated content extracted into clean module"
"step_08_9_shared_center_fixed_point_validation","delete","FPGA/fixed-point route outside scope"
"step_08_9b_shared_center_fixed_point_diagnostics","delete","FPGA/fixed-point route outside scope"
"step_08_9c_shared_center_mixed_precision_validation","delete","hardware precision route outside scope"
"step_08_9d_margin_aware_confidence_validation","delete","post-mainline diagnostic branch"
"step_08_9e_dispatch_trace_objective_norm_diagnostics","delete","post-mainline diagnostic branch"
"step_08_10_unified_model_selection_validation","delete","negative route not adopted"
"step_08_11_shared_center_final_route_summary","delete","decision evidence consolidated"
"step_09_cpi_track","delete","unrelated tracking exploration"
"step_09_shared_center_innovation_route","delete","two retained interface functions extracted and failed backends removed"
"step_10_final_thesis_route","delete","final decision CSV consolidated into clean module"
"step_11_1_beamspace_ml_validation","delete","old full validation directory removed; required controlled pair2d ML functions extracted"
"step_11_2_beamspace_w_design","delete","old full W-design experiment directory removed; required B7 constructors extracted"
"step_11_3_beamspace_ml_search_acceleration","delete","old full acceleration experiment directory removed; required topK3 functions extracted"
"step_11_4_engineering_frontend_backend_chain","delete","beamspace engineering exploration outside final thesis route"
"step_11_5_likelihood_uncertainty_adaptive_beamspace_ml_search","delete","old full C05 experiment directory removed; required fixed C05 budget functions extracted"
"step_11_6_shared_center_rotatable_beamspace_manifold_cache","delete","old full cache experiment directory removed; required canonical cache functions extracted"
"step_11_7_final_cached_c05_beamspace_ml_route","delete","old full result bundle removed; final backend and validation functions extracted"
"step_11_8_likelihood_discriminative_adaptive_w_rank_ml","delete","rejected adaptive W/B route"
"step_11_supersolution_ml","delete","beamspace ML exploratory implementation"
"step_11_supersolution_ml_load数据版本","delete","beamspace ML exploratory implementation"
"step_12_beamspace_ml_fpga_boundary","delete","FPGA route outside scope"
"step_13_fpga_soc_dbf_boundary","delete","FPGA/SoC route outside scope"
"step_14_dbf_ip_soc_integration","delete","FPGA IP integration outside scope"
"FPGA_DBF_Reference_Design_Handoff.md","delete","FPGA handoff outside scope"
"thesis_mainline_shared_center_doa","delete","temporary extraction based on superseded Step10 route"
